attempt_id,inv_at,attempt_end,attempt_start, day_diff ,attempt_time,attempt_ct,out_of_window_seconds,network_disconnect_seconds,window_exit_ct,copy_paste_ct,q1-time_taken,q2-time_taken,q3-time_taken,q4-time_taken,q5-time_taken,q6-time_taken,q7-time_taken,q8-time_taken,q9-time_taken,q10-time_taken,q11-time_taken,q12-time_taken,q13-time_taken,q14-time_taken,q13-testcase_passed,q14-testcase_passed,q2-testcase_time,q3-testcase_time,q4-testcase_time,q5-testcase_time,q6-testcase_time,q7-testcase_time,q8-testcase_time,q9-testcase_time,q10-testcase_time,q11-testcase_time,q12-testcase_time,q13-testcase_time,q14-testcase_time,score_pct,pass
56029136,7/18/2053 17:13,12/6/2037 0:15,2/10/2036 15:47, 665.00 ,83599,2,0,80155,0,0,6,45,2485,366,51,364,30,0,0,0,0,0,0,0,,,0.029597,0.036029,0.036818,0.028501,0.032044,,,,,,,,,0.39,0
48934216,2/15/2053 4:32,6/24/2033 11:57,3/7/2032 13:14, 474.00 ,251468,2,0,100165,0,0,54,1979,923,3148,2918,32060,2791,24372,46299,654,13411,1477,3853,17282,0,0,0.104134,0.035903,0.035012,0.10321,0.012993,0.049258,0.030612,0.031037,0.075005,0.117769,0.012718,0.030266,0.030746,0.39,0
48934322,1/24/2053 6:09,4/5/2033 5:25,12/27/2031 16:22, 465.00 ,254416,2,0,241157,0,0,69,617,809,2068,1670,1753,690,504,520,1094,800,1022,1044,399,0,0,0.032488,0.034571,0.031496,0.031752,0.029093,0.104686,0.034106,0.014599,0.043047,0.01539,0.038667,0.029776,0.036095,0.31,0
81574242,12/5/2054 4:02,9/21/2051 2:13,4/14/2048 17:10," 1,255.00 ",345456,2,330174,246767,116,0,9,37774,29488,244,106,446,334,1044,514,1293,944,121,923,10114,0,0,0.03054,0.007975,0.01806,0.027927,0.104354,0.114983,0.014041,0.008234,0.020397,0.390702,0.02442,0.0248,0.055453,0.16,0
41177896,9/14/2052 15:51,2/24/2028 21:31,6/23/2027 23:13, 246.00 ,259173,2,177648,106584,104,23,,17308,889,83231,5690,27137,1036,51,32,27,45,76,52,8531,0,0,0.033226,0.032793,0.03308,0.035706,0.032491,0.031398,0.053562,0.037121,0.033093,0.010296,0.037461,0.034566,0.050765,0.15,0
79120180,11/13/2054 5:39,10/14/2050 22:27,6/18/2047 12:29," 1,214.00 ",314635,2,267355,287581,43,0,17,16046,1476,518,5,0,0,0,5,0,0,0,8930,37,0,,0.011969,0.033309,0.016402,,,,,,,,,0.01189,,0.01,0
56028712,8/9/2053 15:36,3/16/2038 8:25,5/9/2036 5:52, 676.00 ,86391,2,0,58739,0,0,30,10200,1964,3128,4543,2664,2398,296,156,209,101,155,149,1395,0,0,0.033143,0.031975,0.029771,0.014106,0.1206,0.275298,0.030043,0.027814,0.079249,0.027911,0.030804,0.02894,0.029934,0.01,0
54060300,5/13/2053 22:04,8/31/2036 10:41,12/30/2034 3:48, 610.00 ,430409,2,138822,397529,17,0,10,19481,463,377,470,524,384,287,415,339,5414,249,494,3918,0,0,0.011348,0.009735,0.009631,0.011666,0.032745,0.043986,0.032389,0.02769,0.025413,0.029396,0.026283,0.037141,0.010176,0.01,0
48934238,11/21/2055 2:10,8/7/2032 9:49,5/29/2031 1:46, 436.00 ,257106,2,0,240207,0,0,44,8771,3561,408,376,101,94,1854,0,0,0,0,0,0,,,0.115132,0.03684,0.036716,0.088639,0.037909,0.030741,,,,,,,,0.01,0
47411524,10/8/2055 5:24,4/9/2032 0:01,2/11/2031 18:28, 423.00 ,194074,2,0,926,0,0,6,99753,93397,0,0,0,0,0,0,0,0,0,0,0,,,0.033074,0.029256,,,,,,,,,,,,0.01,0
36329388,7/12/2055 11:52,5/23/2026 17:15,12/4/2025 0:17, 170.00 ,256980,2,194911,185627,76,0,,6293,3250,2738,28,0,0,0,0,0,56696,27,1422,874,0,0,0.03229,0.030521,0.032605,,,,,,,0.01386,,0.028763,0.026523,0,0
34142486,5/29/2055 15:06,12/22/2023 17:23,10/16/2023 10:45, 67.00 ,431992,2,174112,283812,10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0
34141940,5/7/2055 16:43,10/27/2022 7:05,10/9/2022 9:12, 18.00 ,16740,2,432011,0,4,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0
45697086,5/2/2040 12:53,6/16/2030 18:07,7/7/2029 2:19, 344.00 ,200323,1,566,181991,5,0,296,556,302,1927,373,1271,1033,324,838,1963,7450,794,8,8,0.030949,0.028781,0.027863,0.035116,0.030834,0.029307,0.01763,0.038016,0.032327,0.035142,0.034546,0.046162,0.033599,0.032327,0.035142,0.99,1
